id_cliente;cpf;nome_cliente;cep;numero;complemento
1;10134642570;Quevin Bispo;13919404;940;
2;48487609090;Sara de Souza Alves;13919405;604;
3;54991523141;Evandro Silva;13919406;289;
4;87047871705;Zélia Neto;13919407;233;
5;65992434445;Tatiane Oliveira Teixeira;13919408;488;
6;45574598116;Gilberto Martim;13919409;776;fundos
7;21982639555;Ivo Souza;13919410;413;
8;48458406004;Tatiane Silva Souza;13919411;47;
9;71462650139;Umberto Oliveira Neto;13919412;249;AP14 BL24
10;93609717076;Gisele Matos;13919413;231;
11;82907004310;Douglas de Oliveira Oliveira;13919414;444;
12;44829912014;Timóteo Bispo;13919415;77;
13;16468402670;Hugo Bispo;13919404;227;
14;48523092218;Carla Bispo Júnior;13919405;375;
15;39004645454;Helena Matos;13919406;421;AP14 BL26
16;86830839777;Willian Oliveira Neto;13919407;336;
17;62987231881;Xeila Bispo;13919408;210;
18;71542576601;Flávia Alves;13919409;30;
19;19953547327;Paula Custódio Mattos;13919410;886;fundos
20;24712975369;Hugo Martins;13919411;603;
21;50292370970;Valéria Martins Custódio;13919412;753;
22;17443779950;Evandro Oliveira;13919413;536;AP44 BL10
23;83887927176;Antônio Custódio;13919414;769;
24;63667129300;Carla Silva;13919415;663;
25;89497964226;Luis Filho Teixeira;13919412;400;
26;14890417109;Eva Silva;13919413;542;
27;50069879010;Xailo Souza de Souza;13919414;140;
28;59976417241;Norberto Teixeira;13919415;103;
29;28279405151;Bruna Oliveira Neto;13919404;93;
