CPF;ID_Linha;data
400.825.752-74;Linha1;2022-08-21
342.168.515-09;Linha2;2022-08-21
482.142.372-38;Linha3;2022-08-21
050.663.437-09;Linha4;2022-08-21
052.102.852-35;Linha5;2022-08-21
400.825.752-74;Linha1;2022-08-16
342.168.515-09;Linha4;2022-08-16
482.142.372-38;Linha3;2022-08-16
050.663.437-09;Linha2;2022-08-16
052.102.852-35;Linha5;2022-08-16
400.825.752-74;Linha3;2022-08-17
342.168.515-09;Linha2;2022-08-17
482.142.372-38;Linha1;2022-08-17
050.663.437-09;Linha4;2022-08-17
052.102.852-35;Linha5;2022-08-17
