cpf;nome;sobrenome;cep;complemento
202.337.679-32;Victória;Martins;13476-621;null
620.540.260-26;Adolfo;Oliveira;13914-552;fundos
733.108.923-44;Ana;Martins;13476-622;ap14 bl05
716.608.584-37;Maria;Mattos;13914-553;ap44 bl06
406.963.709-56;Ana;Mello;13914-554;null
914.826.758-97;Fabiana;Mattos;13914-555;ap14 bl05
086.921.592-20;Gisele;Oliveira;13914-556;fundos
698.967.276-51;Mariana;Mello;13476-628;ap44 bl06
134.710.264-79;Adolfo;Martins;13476-629;ap21 bl07
482.350.040-70;Jair;Mello;13476-630;null
432.012.903-27;Maria;Souza;13476-631;null
278.583.251-59;Bruno;Martins;13476-632;ap21 bl07
786.829.252-06;Maria;Martins;13476-633;ap44 bl06
789.056.708-14;Jurema;Mello;13476-634;fundos
456.761.940-49;Mariana;Mello;13476-635;ap44 bl06
451.490.791-03;Adolfo;Mattos;13476-636;ap14 bl05
917.927.682-22;Fabiana;Silva;13476-637;ap14 bl05
177.696.998-78;Silvia;Silva;13476-638;null
598.457.915-49;Fábio;Silva;13476-639;ap44 bl06
582.378.843-61;Fábio;Martins;13476-640;null
