cpf;tipo;numero
086.921.592-20;celular;19-22486-3830
086.921.592-20;fixo;19-58170-1170
134.710.264-79;celular;19-23786-5631
134.710.264-79;fixo;19-58463-3657
177.696.998-78;celular;19-10166-3693
202.337.679-32;celular;19-84758-3620
278.583.251-59;celular;19-11627-4661
278.583.251-59;fixo;19-19711-5872
406.963.709-56;celular;19-47920-1480
432.012.903-27;celular;19-46646-0493
432.012.903-27;fixo;19-62551-9288
451.490.791-03;celular;19-22311-4650
456.761.940-49;celular;19-32650-9258
482.350.040-70;celular;19-94684-6302
482.350.040-70;celular;19-99984-6301
482.350.040-70;fixo;19-46551-7725
582.378.843-61;celular;19-55046-6915
598.457.915-49;celular;19-51817-3281
620.540.260-26;celular;19-41249-6894
698.967.276-51;celular;19-20126-1596
698.967.276-51;fixo;19-62968-2877
716.608.584-37;celular;19-57600-4018
733.108.923-44;celular;19-23790-2685
786.829.252-06;celular;19-28056-3785
786.829.252-06;fixo;19-37771-8988
789.056.708-14;celular;19-22220-9990
789.056.708-14;fixo;19-48208-7005
914.826.758-97;celular;19-08095-0841
914.826.758-97;fixo;19-70278-8654
917.927.682-22;celular;19-42812-0182
